time_pt,ticker,type,status,score,1h_ret_pct,4h_ret_pct,eod_ret_pct
08:56 PT,IGV,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.06,-0.57,-0.51
07:12 PT,NBIS,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.48,0.40,-0.52
07:25 PT,NBIS,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.48,0.40,-0.52
07:46 PT,NBIS,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.48,0.40,-0.52
06:32 PT,MSFT,CALL,REJECTED_LOW_SCORE,24.2,1.26,-0.04,-0.53
06:55 PT,MSFT,UNKNOWN,REJECTED_NO_FLOW,0.0,1.26,-0.04,-0.53
09:36 PT,IGV,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.56,-0.65,-0.54
07:01 PT,IBIT,CALL,REJECTED_LOW_SCORE,38.0,-0.18,-1.04,-0.54
07:06 PT,IBIT,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.18,-1.04,-0.54
10:07 PT,AMD,CALL,REJECTED_LOW_SCORE,35.8,-0.67,-0.54,
07:12 PT,CRWD,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.75,-0.74,-0.54
07:12 PT,EWJ,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.15,-0.60,-0.60
10:16 PT,GLD,CALL,REJECTED_LOW_SCORE,39.5,-0.10,-0.61,
07:18 PT,ASML,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.30,-0.67,-0.66
10:48 PT,RACE,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.20,-0.68,
10:41 PT,ARM,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.27,-0.76,
09:57 PT,EWZ,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.10,-0.45,-0.76
08:39 PT,CRM,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.36,-1.04,-0.76
07:06 PT,GLD,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.13,-0.30,-0.81
06:49 PT,MU,CALL,REJECTED_LOW_SCORE,27.6,0.03,0.00,-0.82
10:48 PT,MU,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.08,-0.85,
09:47 PT,UNP,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.49,-0.98,-0.87
07:12 PT,MU,CALL,REJECTED_IV_CRUSH,0.0,-1.34,0.03,-0.90
10:48 PT,SLV,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.34,-0.92,
07:38 PT,BABA,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.19,-0.95,-0.93
07:54 PT,BABA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.19,-0.95,-0.93
08:21 PT,ADBE,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.40,-0.99,-0.93
08:56 PT,XHB,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.21,-0.94,-0.95
08:56 PT,KRE,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.38,-1.06,-1.01
07:46 PT,AVGO,PUT,REJECTED_LOW_SCORE,19.8,0.09,-0.29,-1.01
18:16 PT,GLD,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.16,-0.37,-1.01
20:16 PT,GLD,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.16,-0.37,-1.01
10:48 PT,NBIS,CALL,REJECTED_LOW_SCORE,39.8,-0.11,-1.03,
10:16 PT,AMZN,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.94,-1.06,
09:36 PT,EWY,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.58,-1.07,-1.09
09:05 PT,INTC,CALL,REJECTED_IV_CRUSH,0.0,-0.51,-0.84,-1.12
09:27 PT,INTC,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.51,-0.84,-1.12
09:05 PT,JPM,CALL,REJECTED_LOW_SCORE,38.5,-0.78,-1.25,-1.14
08:21 PT,TSLA,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.06,-1.36,-1.22
06:32 PT,AMZN,UNKNOWN,REJECTED_BID_SIDE,0.0,0.23,-0.10,-1.25
06:55 PT,AMZN,UNKNOWN,REJECTED_NO_FLOW,0.0,0.23,-0.10,-1.25
07:54 PT,CVNA,UNKNOWN,REJECTED_BID_SIDE,0.0,0.63,-1.74,-1.29
07:06 PT,NFLX,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.49,-1.72,-1.33
07:01 PT,AMZN,CALL,REJECTED_LOW_SCORE,28.0,-0.31,-1.26,-1.38
09:47 PT,KRE,CALL,TRIGGER_PULLBACK_CONFIRMED,40.7,-1.03,-1.36,-1.39
06:38 PT,INTC,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.37,-1.13,-1.45
11:27 PT,RKLB,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.99,-1.46,
08:47 PT,WDC,PUT,REJECTED_LOW_SCORE,18.2,-2.00,-1.44,-1.46
07:01 PT,NOW,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-1.32,-2.08,-1.49
09:13 PT,SLV,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.50,-1.67,-1.55
08:21 PT,SLV,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.07,-1.10,-1.58
09:20 PT,GE,UNKNOWN,REJECTED_NO_FLOW,0.0,-1.09,-1.80,-1.61
06:38 PT,HIMS,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-1.68,-4.20,-1.61
06:32 PT,TSLA,PUT,REJECTED_LOW_SCORE,13.3,-3.15,-2.06,-1.65
08:47 PT,HOOD,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.25,-1.65,-1.67
07:12 PT,GDX,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.02,-1.24,-1.68
07:01 PT,BA,CALL,REJECTED_LOW_SCORE,32.0,-0.30,-1.02,-1.69
07:06 PT,BA,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.30,-1.02,-1.69
18:16 PT,MARA,UNKNOWN,REJECTED_BID_SIDE,0.0,1.18,-0.98,-1.72
20:16 PT,MARA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,1.18,-0.98,-1.72
06:38 PT,BA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.20,-0.95,-1.85
06:32 PT,SLV,CALL,REJECTED_LOW_SCORE,38.9,0.38,-0.71,-1.88
08:32 PT,DOCN,PUT,REJECTED_IV_CRUSH,0.0,-2.20,-2.68,-1.94
08:47 PT,CVNA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-1.28,-2.01,-1.99
07:31 PT,HOOD,CALL,REJECTED_LOW_SCORE,38.0,-0.44,-1.89,-2.16
07:38 PT,HOOD,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.44,-1.89,-2.16
07:01 PT,RKLB,CALL,REJECTED_LOW_SCORE,35.6,-2.16,-0.90,-2.25
06:43 PT,SOFI,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.87,-1.24,-2.48
07:01 PT,ORCL,UNKNOWN,REJECTED_BID_SIDE,0.0,-1.35,-3.53,-2.56
07:06 PT,ORCL,UNKNOWN,REJECTED_NO_FLOW,0.0,-1.35,-3.53,-2.56
07:07 PT,ORCL,CALL,REJECTED_LOW_SCORE,28.1,-1.35,-3.53,-2.56
08:39 PT,ALK,UNKNOWN,REJECTED_NO_FLOW,0.0,-1.08,-2.62,-2.60
08:47 PT,ALK,CALL,REJECTED_LOW_SCORE,30.1,-1.08,-2.62,-2.60
07:54 PT,RIVN,UNKNOWN,REJECTED_BID_SIDE,0.0,-1.05,-2.83,-2.61
06:49 PT,USO,PUT,REJECTED_LOW_SCORE,18.4,2.17,-0.14,-2.73
07:06 PT,MSTR,UNKNOWN,REJECTED_NO_FLOW,0.0,-1.44,-4.00,-2.79
07:54 PT,CRCL,UNKNOWN,REJECTED_BID_SIDE,0.0,-3.91,-3.72,-2.91
07:54 PT,KORU,UNKNOWN,REJECTED_BID_SIDE,0.0,-1.12,-2.66,-2.94
07:31 PT,CVX,PUT,REJECTED_LOW_SCORE,16.2,-0.94,-2.80,-3.03
07:12 PT,UAL,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.81,-3.13,-3.08
07:18 PT,SOFI,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.43,-2.63,-3.23
07:31 PT,SOFI,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.43,-2.63,-3.23
07:06 PT,COIN,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.84,-3.45,-3.75
07:38 PT,COIN,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.84,-3.45,-3.75
08:01 PT,OKLO,UNKNOWN,REJECTED_NO_FLOW,0.0,-1.61,-3.89,-3.93
07:01 PT,BMNR,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-1.61,-4.60,-4.27
07:06 PT,BMNR,UNKNOWN,REJECTED_NO_FLOW,0.0,-1.61,-4.60,-4.27
07:31 PT,OKLO,CALL,REJECTED_LOW_SCORE,32.5,-1.76,-4.95,-5.34
06:43 PT,KWEB,CALL,WATCH_PULLBACK,46.5,,,
06:49 PT,IGV,CALL,WATCH_PULLBACK,40.2,,,
07:12 PT,TLT,CALL,WATCH_PULLBACK,46.4,,,
09:13 PT,CIFR,CALL,WATCH_PULLBACK,43.4,,,
09:36 PT,KRE,CALL,WATCH_PULLBACK,40.7,,,
12:38 PT,TSM,CALL,WATCH_PULLBACK,42.6,,,
