event_id,date_utc,time_utc,ticker,direction,event_type,score,path,dte,entry_price,spy_at_event,ret_1h_pct,ret_4h_pct,ret_eod_pct,ret_d1_pct,ret_d3_pct,spy_ret_eod_pct,excess_eod_pct,mfe_eod_pct,mae_eod_pct,factor_summary,screener_logic
eecaced6829a50a3,2026-04-17,13:32:53,SOXL,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,91.95,,1.207,1.881,2.849,,,0.274,2.575,3.045,-0.117,,Screener detected $5.5M Net Premium Imbalance and 36 massive Darkpool prints.
0c0abd5074ffb10f,2026-04-17,13:32:53,TSLA,PUT,REJECTED_LOW_SCORE,13.3,,153,393.9,,-3.147,-2.06,-1.649,,,0.274,-1.375,0.281,-3.903,persistence:0|smc:0|dp:9.3|greek:0|iv:0|open_conf:0|tod:5|ask_dom:0.57,Screener detected $3.8M Net Premium Imbalance and 33 massive Darkpool prints.
9741ab6c658cad85,2026-04-17,13:32:53,NFLX,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,97.64,,0.952,-1.034,-0.401,,,0.274,-0.675,1.127,-1.168,,Screener detected $2.5M Net Premium Imbalance and 32 massive Darkpool prints.
51c04c687f3690a9,2026-04-17,13:32:53,SLV,CALL,REJECTED_LOW_SCORE,38.9,,34,74.56,,0.383,-0.711,-1.877,,,0.274,-2.151,0.805,-1.945,persistence:4.7|smc:0|dp:9.9|greek:0|iv:0|open_conf:10|tod:5|ask_dom:1.0,Screener detected $1.6M Net Premium Imbalance and 18 massive Darkpool prints.
28c15e8e30b3ed32,2026-04-17,13:38:15,INTC,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,69.43,,0.374,-1.131,-1.451,,,0.274,-1.725,1.289,-2.441,,Screener detected $5.4M Net Premium Imbalance and 30 massive Darkpool prints.
2bf0beeb3adcf056,2026-04-17,13:38:15,BA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,228.0,,-0.2,-0.95,-1.851,,,0.274,-2.125,0.982,-2.246,,Screener detected $4.5M Net Premium Imbalance and 19 massive Darkpool prints.
807e37241a840fea,2026-04-17,13:38:15,AXTI,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,76.81,,3.626,6.457,6.996,,,0.274,6.722,8.377,-0.41,,Screener detected $2.9M Net Premium Imbalance and 5 massive Darkpool prints.
730a7528efee7bcd,2026-04-17,13:38:15,HIMS,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,29.17,,-1.679,-4.2,-1.612,,,0.274,-1.886,1.646,-6.068,,Screener detected $2.4M Net Premium Imbalance and 4 massive Darkpool prints.
e502de55c77e8426,2026-04-17,13:43:41,AVGO,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,403.28,,-0.218,0.009,0.786,,,0.274,0.512,0.854,-0.55,,Pre-position APPROACHING | AVGO: persistent CALL bias $+53.1M/day×5d | DP cluster @ 380.48 (val 2/4) | ++9.1% vs SPY
19f809939d0bd36c,2026-04-17,13:43:41,TSLA,CALL,REJECTED_LOW_SCORE,33.7,,6,393.9,,3.147,2.06,1.649,,,0.274,1.375,3.903,-0.281,persistence:0|smc:0|dp:8.8|greek:0|iv:0|open_conf:10|tod:5|ask_dom:0.64,Pre-position APPROACHING | TSLA: persistent CALL bias $+235.4M/day×5d | DP cluster @ 364.2 (val 1/4) | ++9.3% vs SPY
b52e3fdb9cfb88f5,2026-04-17,13:43:41,COIN,UNKNOWN,REJECTED_BID_SIDE,0.0,,0,206.97,,3.795,0.882,-0.089,,,0.274,-0.363,4.385,-0.766,,Pre-position CONFIRMED | COIN: persistent CALL bias $+13.7M/day×5d | DP cluster @ 184.34 (val 2/4) | ++15.0% vs SPY
2f3202d19748da2b,2026-04-17,13:43:41,QQQ,PUT,REJECTED_LOW_SCORE,21.6,,27,646.46,,-0.356,-0.271,-0.402,,,0.274,-0.128,0.048,-0.548,persistence:6.9|smc:0|dp:9.9|greek:0|iv:0|open_conf:0|tod:5|ask_dom:0.92,Pre-position CONFIRMED | QQQ: persistent CALL bias $+188.8M/day×5d | DP cluster @ 637.52 (val 1/4) | ++1.8% vs SPY
655948836196115b,2026-04-17,13:43:41,SPY,CALL,REJECTED_LOW_SCORE,39.9,,-1,708.35,,0.301,0.275,0.274,,,0.274,0.0,0.57,-0.028,persistence:15.5|smc:0|dp:9.5|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Screener detected $3.6M Net Premium Imbalance and 77 massive Darkpool prints.
f084980c6b046311,2026-04-17,13:43:41,GOOG,UNKNOWN,REJECTED_BID_SIDE,0.0,,0,334.2,,0.057,1.194,1.478,,,0.274,1.204,1.731,-0.096,,Screener detected $2.2M Net Premium Imbalance and 35 massive Darkpool prints.
58871e79212bc3f3,2026-04-17,13:43:41,WDC,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,370.67,,-0.227,0.656,0.413,,,0.274,0.139,1.424,-1.211,,Screener detected $1.1M Net Premium Imbalance and 15 massive Darkpool prints.
54f9a7f89ab4dc42,2026-04-17,13:43:41,SOFI,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,19.79,,0.866,-1.238,-2.476,,,0.274,-2.75,1.718,-2.577,,Screener detected $1.1M Net Premium Imbalance and 7 massive Darkpool prints.
3ff81d8af2e6e4d1,2026-04-17,13:43:41,KWEB,CALL,WATCH_PULLBACK,46.5,PULLBACK,61,30.52,,0.147,-0.311,-0.294,,,0.274,-0.568,0.7,-0.623,persistence:1.1|smc:20|dp:10.9|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Screener detected $2.3M Net Premium Imbalance and 2 massive Darkpool prints.
29b33d44bffc18b1,2026-04-17,13:43:41,ETHA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,18.43,,0.38,0.163,-0.379,,,0.274,-0.653,1.113,-0.976,,Screener detected $2.0M Net Premium Imbalance and 2 massive Darkpool prints.
052c9b8284bd4cc0,2026-04-17,13:48:38,AMZN,CALL,PATROL_PREPOSITION_TRANSITION,,,,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,transition:CONFIRMED_to_APPROACHING|trigger:253.44|spot:253.37|reason:,
1e33980c3b930a8c,2026-04-17,13:48:40,META,CALL,PATROL_PREPOSITION_TRANSITION,,,,684.79,,0.208,-0.076,0.494,,,0.274,0.22,0.982,-0.423,transition:WAITING_to_CONFIRMED|trigger:681.89|spot:684.76|reason:,
0ec94fce6a15bc62,2026-04-17,13:48:40,AVGO,CALL,PATROL_PREPOSITION_TRANSITION,,,,403.28,,-0.218,0.009,0.786,,,0.274,0.512,0.854,-0.55,transition:APPROACHING_to_CONFIRMED|trigger:401.68|spot:401.76|reason:,
a495392a6b4619a8,2026-04-17,13:48:41,NVDA,CALL,PATROL_PREPOSITION_TRANSITION,,,,201.16,,-0.435,-0.42,0.122,,,0.274,-0.152,0.36,-0.838,transition:WAITING_to_APPROACHING|trigger:201.4|spot:200.48|reason:,
